1713270342293 - sink, rti_index: 9
1713270342293 - react, rti_index: 1
1713270342293 - supply_from_location, rti_index: 1
1713270342293 - lookup, rti_index: 0
1713270342293 - supply_from_location, rti_index: 1
1713270342293 - supply_from_location, rti_index: 2
1713270342293 - react, rti_index: 3
1713270342293 - consume, rti_index: 4
1713270342293 - supply_from_location, rti_index: 1
1713270342293 - supply_constant, rti_index: 2
1713270342293 - react, rti_index: 7
1713270342293 - consume, rti_index: 8
1713270342293 - sink, rti_index: 9
1713270342293 - react, rti_index: 3
1713270342293 - consume, rti_index: 4
1713270342294 - supply_from_location, rti_index: 1
1713270342294 - consume, rti_index: 6
1713270342294 - supply_from_location, rti_index: 2
1713270342294 - react, rti_index: 8
1713270342294 - consume, rti_index: 9
1713270342294 - sink, rti_index: 10
1713270342294 - supply_from_location, rti_index: 1
1713270342294 - lookup, rti_index: 0
1713270342294 - supply_from_location, rti_index: 1
1713270342294 - supply_from_location, rti_index: 2
1713270342294 - react, rti_index: 3
1713270342294 - consume, rti_index: 4
1713270342294 - supply_from_location, rti_index: 1
1713270342294 - supply_constant, rti_index: 2
1713270342294 - react, rti_index: 7
1713270342294 - consume, rti_index: 8
1713270342295 - sink, rti_index: 9
1713270342295 - react, rti_index: 1
1713270342295 - supply_from_location, rti_index: 1
1713270342295 - lookup, rti_index: 0
1713270342295 - supply_from_location, rti_index: 1
1713270342295 - supply_from_location, rti_index: 2
1713270342295 - react, rti_index: 3
1713270342295 - consume, rti_index: 4
1713270342295 - supply_from_location, rti_index: 1
1713270342295 - supply_constant, rti_index: 2
1713270342295 - react, rti_index: 7
1713270342295 - consume, rti_index: 8
1713270342295 - sink, rti_index: 9
1713270342295 - react, rti_index: 3
1713270342295 - consume, rti_index: 4
1713270342295 - supply_from_location, rti_index: 1
1713270342295 - consume, rti_index: 6
1713270342296 - supply_from_location, rti_index: 2
1713270342296 - react, rti_index: 8
1713270342296 - consume, rti_index: 9
1713270342296 - sink, rti_index: 10
1713270342296 - supply_from_location, rti_index: 1
1713270342296 - lookup, rti_index: 0
1713270342296 - supply_from_location, rti_index: 1
1713270342296 - supply_from_location, rti_index: 2
1713270342296 - react, rti_index: 3
1713270342296 - consume, rti_index: 4
1713270342296 - supply_from_location, rti_index: 1
1713270342296 - supply_constant, rti_index: 2
1713270342297 - react, rti_index: 7
1713270342297 - consume, rti_index: 8
1713270342297 - sink, rti_index: 9
1713270342297 - react, rti_index: 1
1713270342297 - supply_from_location, rti_index: 1
1713270342297 - lookup, rti_index: 0
1713270342297 - supply_from_location, rti_index: 1
1713270342297 - supply_from_location, rti_index: 2
1713270342297 - react, rti_index: 3
1713270342297 - consume, rti_index: 4
1713270342297 - supply_from_location, rti_index: 1
1713270342298 - supply_constant, rti_index: 2
1713270342298 - react, rti_index: 7
1713270342298 - consume, rti_index: 8
1713270342298 - sink, rti_index: 9
1713270342298 - react, rti_index: 3
1713270342298 - consume, rti_index: 4
1713270342298 - supply_from_location, rti_index: 1
1713270342298 - consume, rti_index: 6
1713270342298 - supply_from_location, rti_index: 2
1713270342298 - react, rti_index: 8
1713270342298 - consume, rti_index: 9
1713270342298 - sink, rti_index: 10
1713270342298 - supply_from_location, rti_index: 1
1713270342298 - lookup, rti_index: 0
1713270342299 - supply_from_location, rti_index: 1
1713270342299 - supply_from_location, rti_index: 2
1713270342299 - react, rti_index: 3
1713270342299 - consume, rti_index: 4
1713270342299 - supply_from_location, rti_index: 1
1713270342299 - supply_constant, rti_index: 2
1713270342299 - react, rti_index: 7
1713270342299 - consume, rti_index: 8
1713270342299 - sink, rti_index: 9
1713270342299 - react, rti_index: 1
1713270342299 - supply_from_location, rti_index: 1
1713270342299 - lookup, rti_index: 0
1713270342299 - supply_from_location, rti_index: 1
1713270342299 - supply_from_location, rti_index: 2
1713270342300 - react, rti_index: 3
1713270342300 - consume, rti_index: 4
1713270342300 - supply_from_location, rti_index: 1
1713270342300 - supply_constant, rti_index: 2
1713270342300 - react, rti_index: 7
1713270342300 - consume, rti_index: 8
1713270342300 - sink, rti_index: 9
1713270342300 - react, rti_index: 3
1713270342300 - consume, rti_index: 4
1713270342300 - supply_from_location, rti_index: 1
1713270342300 - consume, rti_index: 6
1713270342300 - supply_from_location, rti_index: 2
1713270342300 - react, rti_index: 8
1713270342300 - consume, rti_index: 9
1713270342301 - sink, rti_index: 10
1713270342301 - supply_from_location, rti_index: 1
1713270342301 - lookup, rti_index: 0
1713270342301 - supply_from_location, rti_index: 1
1713270342301 - supply_from_location, rti_index: 2
1713270342301 - react, rti_index: 3
1713270342301 - consume, rti_index: 4
1713270342301 - supply_from_location, rti_index: 1
1713270342301 - supply_constant, rti_index: 2
1713270342301 - react, rti_index: 7
1713270342301 - consume, rti_index: 8
1713270342301 - sink, rti_index: 9
1713270342301 - react, rti_index: 1
1713270342301 - supply_from_location, rti_index: 1
1713270342301 - lookup, rti_index: 0
1713270342302 - supply_from_location, rti_index: 1
1713270342302 - supply_from_location, rti_index: 2
1713270342302 - react, rti_index: 3
1713270342302 - consume, rti_index: 4
1713270342302 - supply_from_location, rti_index: 1
